C1QC	C1QB	0.999
PPP1CC	GRIN3B	0.618
IL1RAPL1	LRFN5	0.618
PPP1CC	CACNG4	0.618
SHISA6	CACNG8	0.618
YWHAQ	PSEN1	0.618
GAD1	GABRB3	0.618
NLGN3	GABRB3	0.618
GRIN1	GABRB2	0.618
PPP1R9A	PPP1CC	0.618
SHISA9	SHISA7	0.618
OPRM1	P2RX4	0.618
RUSC1	PORCN	0.618
CTNNA2	YWHAQ	0.617
GRIK4	SHANK1	0.617
ATAD1	GRID1	0.617
CHAT	SLC32A1	0.617
PRRT2	SYT1	0.617
MPDZ	PRKCI	0.616
AKT1	DRD2	0.616
PRRT2	SYNGR1	0.616
VWC2	PORCN	0.616
PTPRS	GPC1	0.616
USH2A	CNGB1	0.616
GRIK4	GRM8	0.616
ACTN2	MYL7	0.616
SLITRK3	NRXN2	0.616
NETO1	GRIK5	0.616
ACTR2	YWHAH	0.615
SLC1A2	SYP	0.615
DNM1L	VPS45	0.615
RAB5A	CANX	0.615
SYN2	HPCA	0.614
NAPG	STX1A	0.614
FRMPD4	DLGAP3	0.614
NAPG	STX1B	0.614
ADORA2B	P2RX1	0.614
SYN1	NRXN2	0.614
CPE	PENK	0.614
AKT1	MAP1LC3A	0.614
PENK	NTS	0.614
RPS18	ACTB	0.614
GRM1	SLC1A2	0.614
GRIN1	HTR3B	0.613
ATP2B4	SLC8A2	0.613
PSEN1	EFNB2	0.613
SRC	SYP	0.613
CCK	PENK	0.613
RPL6	PSMC2	0.613
MTOR	PLD1	0.613
RPS14	HNRNPD	0.613
SYT2	DNAJC5	0.613
ACTN1	GIPC1	0.613
SUMO1	KCNK1	0.613
DRD2	GAD1	0.612
PTEN	SCRIB	0.612
ERC2	PPFIA4	0.612
SV2B	SLC17A7	0.612
ENAH	ABI2	0.612
BDNF	WNT3A	0.612
KIF1A	SNAP25	0.612
GABRD	TTYH1	0.612
DLG1	KCNC1	0.612
SHISA9	SHISA6	0.612
ACHE	RAPSN	0.612
CLSTN1	DLGAP4	0.611
SYNGAP1	DLG1	0.611
GRIK3	NETO1	0.611
PSMC5	RPS23	0.611
DLGAP3	GRIN1	0.610
KCNA2	KCNJ9	0.610
DLGAP3	FMR1	0.610
GRIK2	GRM1	0.610
PTK2B	STAT3	0.610
PSEN1	ACHE	0.610
SNPH	SNAP25	0.610
SYT1	PSD	0.610
PLD2	RPS6KB1	0.610
PPP1R9A	RPS6KB1	0.610
SRC	RPS6KB1	0.610
DRD1	GRM1	0.609
ELFN1	IGSF9B	0.609
STX4	RAB5A	0.609
GABRA2	LRFN2	0.609
GPER1	GNRH1	0.609
NRXN1	SYN1	0.609
SHISA9	HTR3B	0.609
SYT2	NEFH	0.609
GRIK2	SHANK1	0.609
ATP1A3	ITPR1	0.609
GABRB1	SLC32A1	0.609
RTN4	EFNB3	0.609
SHISA9	PORCN	0.609
RELA	PPP2R2A	0.608
NEDD4	TNIK	0.608
GRIA2	HTR3B	0.608
MME	PTEN	0.608
PPP1CC	GRIA4	0.608
PTK2B	CACNG8	0.608
TANC2	PPP1CC	0.608
PPP2R2A	CACNG4	0.608
CACNG7	PRKACA	0.608
GRIA3	PPP1CC	0.608
BDNF	MTOR	0.608
PRKACA	NDUFS7	0.608
DRD2	PPP2R2A	0.608
SYT2	SNAP47	0.608
NAPG	SNAP47	0.608
GAD1	NTRK2	0.608
GPR98	EGFLAM	0.608
RAB11A	PSD	0.608
CACNG7	PPP2R2A	0.608
GLRA4	SLC32A1	0.608
DRD2	DTNBP1	0.607
SLITRK1	NRXN2	0.607
EPHB2	PTEN	0.607
P2RY4	ADORA2B	0.607
FLNA	ACTB	0.607
LRRC4B	NLGN3	0.607
LIN7C	EGFR	0.607
MPP2	SRC	0.607
CPLX4	SNAP25	0.607
GABRP	HAP1	0.607
P2RX4	ASIC1	0.607
CALB1	PPP1R1B	0.607
BDNF	CALCA	0.606
ADRA2C	SLC6A2	0.606
SLC6A1	NTRK2	0.606
RPL14	PSMC5	0.606
ITGA2	CBLN1	0.606
ZDHHC17	GAK	0.606
SHANK1	LRRC7	0.606
GABRD	GABRB3	0.606
MAP2	CALB1	0.606
UNC5C	NTNG1	0.606
SYNPR	SV2B	0.606
DNM1L	SYNJ1	0.606
SLC18A3	CHRNA4	0.605
KCNA2	KCNN2	0.605
SV2C	SNAP25	0.605
RIMS3	NLGN3	0.605
SYT9	SYN1	0.605
PACSIN1	LRFN2	0.605
ACTB	EEF2	0.605
ATP2B4	ITPR1	0.605
PTPRS	CDH1	0.605
MTOR	NF1	0.605
DBN1	CAP2	0.605
AKT1	PTK2B	0.605
HTT	PSEN1	0.605
CCK	DRD1	0.604
PLD2	MAPK14	0.604
GRIN1	KCNC1	0.604
SYNGAP1	DLGAP3	0.604
GABRA1	SNAP25	0.604
SLC8A3	ATP2B2	0.604
GABRD	SCN2A	0.604
DRD2	HTT	0.604
NAPG	VAMP2	0.604
DYNLL2	DLGAP1	0.603
ABHD6	ABHD17B	0.603
CNTN1	ANK3	0.603
NTF3	CBLN4	0.603
MAP1LC3A	HTT	0.603
BDNF	CPE	0.603
HRAS	VPS35	0.603
PDLIM5	ACTN1	0.603
CHRNA2	SLC17A6	0.603
SYNPR	SLC17A7	0.603
OLFM3	GRIA2	0.603
BDNF	SRC	0.602
AKT1	BNIP3	0.602
EGLN1	PLD1	0.602
CHRNA4	SLC6A1	0.602
CBLN2	NRXN2	0.602
GABRA2	COMT	0.602
AKT1	RAB5A	0.602
SCN2A	SYN1	0.602
LRRTM1	SLC17A7	0.602
AKT1	CTNND2	0.602
CALB2	PPP1R1B	0.602
NUMB	CTNND1	0.602
KIF5A	MAPK8IP1	0.602
TTYH1	GABRB2	0.602
GRIA2	GABRB2	0.602
SYN2	SYT12	0.602
CADM2	SH3GL2	0.601
SYT6	STX4	0.601
CHRNA7	CHRM5	0.601
NRXN1	SLC32A1	0.601
GABRA1	GAD1	0.601
SLC1A7	GLUL	0.601
PTEN	MAPK14	0.601
GRIP1	EFNB1	0.601
CNTN2	ADAM22	0.601
MT-ND2	PRKACA	0.600
NAPG	SNAP23	0.600
PPP2R2A	CACNA1D	0.600
SLITRK3	ARHGEF9	0.600
PRKACA	CACNG8	0.600
PPP2R2A	CACNG8	0.600
PIP5K1C	ACTN1	0.600
PRKACA	CACNG4	0.600
STX4	SYT10	0.600
SYN2	SYT6	0.600
HRAS	GNG3	0.600
CHRNB1	CHRNA1	0.600
LRRC4B	IL1RAP	0.600
GPHN	SLC17A6	0.600
AGRN	ACHE	0.600
NTF4	AKT1	0.600
AKT1	GPER1	0.600
KCNJ9	PRKACA	0.600
SHISA8	SHISA9	0.600
MYO5A	OPHN1	0.600
GRIA3	GRM1	0.600
BDNF	GAD2	0.599
GLRA1	GABRB3	0.599
SYT5	STX4	0.599
MTOR	EEF2K	0.599
GRIN1	FMR1	0.599
SYT8	STX4	0.599
SYT9	STX4	0.599
KIF5A	SPG11	0.599
KIF5A	MYO5A	0.598
CALM1	ADD2	0.598
NTRK2	SNAP25	0.598
STX2	STX3	0.598
ARC	HOMER1	0.598
SYT12	STX4	0.598
GABRR3	GLRA1	0.598
NEFL	SYP	0.598
CNKSR2	LRRC7	0.598
GPHN	SYN1	0.598
HPCA	ATP2B3	0.598
GLRA1	SLC32A1	0.598
STX11	STX1A	0.597
CNTN1	ANK2	0.597
BDNF	CAMK4	0.597
DTNBP1	SYN1	0.597
GLRA1	GABRB1	0.597
COPS5	PSMC4	0.597
SLC17A6	CBLN1	0.597
GABRR3	GLUL	0.597
AP3D1	VAMP7	0.597
SYNGAP1	HOMER1	0.597
GABRD	GRIN1	0.597
DRD1	CHRNA4	0.597
SLC18A3	SYP	0.597
GRIN1	CHRM1	0.597
LRRC4B	NRXN1	0.597
CBLN2	LAMP5	0.596
NTNG1	LRRTM1	0.596
SOS1	ITSN1	0.596
GABRD	CPLX1	0.596
GRIN1	KCNIP3	0.596
STX2	UNC13B	0.596
MPDZ	NRXN1	0.596
KIF1A	MAP2	0.596
HRAS	PRKCI	0.596
EGFR	ADAM10	0.596
HTR1B	SLC6A2	0.595
CPEB2	CPEB4	0.595
BACE1	SYP	0.595
GABRR3	GLRA4	0.595
MPP2	DLGAP2	0.595
WASF1	CTTN	0.595
GABRA2	DRD2	0.595
BDNF	GRIA2	0.595
SYNJ1	AP1S1	0.595
KCNC3	ITPR1	0.595
SYT7	SYN1	0.595
CASK	GRIN1	0.594
ACHE	NRXN2	0.594
UNC13B	STX11	0.594
SH3GL2	TMEM108	0.594
KCND3	KCNH1	0.594
COPS5	PSMC5	0.594
BDNF	BACE1	0.594
GAP43	CALCA	0.594
MPP2	DLG5	0.594
GABRA2	SLC6A4	0.594
JAK2	MTOR	0.594
BDNF	GSK3B	0.594
MAP2	CHAT	0.593
DNM1L	VPS35	0.593
BDNF	PTPRS	0.593
KCNJ9	GRIA2	0.593
ACTB	CALM1	0.593
CDC42	PTK2B	0.593
MAP2	SNAP25	0.593
GRM8	GRIN2D	0.593
ITGB1	FBXO2	0.593
GRIK2	LIN7B	0.593
STX11	STX3	0.593
CALM1	DLG1	0.593
GRIN1	HOMER1	0.593
GABRG2	KCNJ9	0.592
DVL1	ROR1	0.592
CHRNA4	SNAP25	0.592
KCNC3	PPFIA3	0.592
ACHE	CALB1	0.592
GRM1	DRD2	0.592
SYN2	GABRB2	0.592
HTR1B	SLC18A2	0.592
RAB3B	SNAP25	0.592
SYAP1	NDUFS7	0.592
GAP43	GUCY1A3	0.592
EFNA5	RHEB	0.592
RAB8B	VAMP4	0.591
CHRNA2	PPP3CC	0.591
AGRN	CHRNA4	0.591
CHRNA2	SLC17A7	0.591
SIGMAR1	SPG11	0.591
GAD1	SYN1	0.591
GUCY1A3	CAP2	0.591
AGRN	SYT2	0.591
GUCY1B3	CAP2	0.591
SYN2	SYT10	0.591
NF1	ADCY8	0.590
MAP1LC3A	RPS6KB1	0.590
GABRG2	LGI1	0.590
MTMR2	DLG1	0.590
MAP2	NTRK2	0.590
ACTB	CALM3	0.590
RPS27	RAB8B	0.590
GLRA4	GABRB2	0.590
SNPH	SH3GL2	0.590
SYN2	SYT8	0.590
GRIA3	SLC1A2	0.590
TTYH1	GABRB3	0.590
MME	ITGB1	0.590
ABHD6	PORCN	0.590
MYO7A	CALM1	0.590
FMR1	SHANK1	0.590
PRKCZ	RAB4A	0.590
ENSG00000196689	BDNF	0.589
ACTB	PLD1	0.589
SLC18A3	CALCA	0.589
GRIN1	KCNJ9	0.589
ITPR1	CALB1	0.589
NOS1	GNRH1	0.589
SYT2	SLC17A6	0.589
BDNF	CALB1	0.589
GABRA2	GLRA4	0.589
CALB2	SLC6A1	0.589
SH3KBP1	SEPT6	0.589
GABRA1	GRM1	0.589
PRKCZ	CABP4	0.589
HNRNPA3	FMR1	0.589
EXOC3	RAB8B	0.589
SYNGAP1	NLGN3	0.589
TTYH1	GABRA5	0.589
AKT1	ITGB1	0.589
CCK	OPRK1	0.589
SYN2	SH3GL2	0.589
GAD2	SLC1A2	0.588
GRM1	GRIN2D	0.588
SLC8A3	ATP2B3	0.588
ZDHHC17	PPT1	0.588
ARRB1	CNR1	0.588
STX11	NAPG	0.588
COMT	ZNF804A	0.588
GRM1	GRIK5	0.588
SYNJ1	WASF1	0.588
GRIK2	SLC1A2	0.588
GRIA3	STX1B	0.588
MT-ND2	UCN	0.588
RAB27A	AP3B1	0.588
GABRG2	GLRA4	0.588
STX10	CPLX1	0.588
PLD1	RAB8B	0.588
MAP2	SLC17A6	0.588
GABRD	SLC32A1	0.587
GPR98	GRIA2	0.587
MYO5A	DTNBP1	0.587
NAPG	STX19	0.587
SHANK1	GRIN3B	0.587
KCNA1	KCNC1	0.587
GPC1	SRGN	0.587
RAB27A	RIMS2	0.587
CALM1	DCLK1	0.587
BDNF	KCNK2	0.587
STX19	STXBP5L	0.587
SHANK1	GRIK5	0.587
GRIA3	PTK2B	0.587
USH2A	MYH9	0.587
NAPG	SYPL1	0.587
STX3	NAPG	0.587
GLRA4	GABRB3	0.587
SUMO1	HTT	0.587
PDYN	PPP1R1B	0.587
ARC	GRIA2	0.587
GAD2	GRM1	0.587
GABRR3	SLC6A4	0.587
CACNA1D	USH1C	0.587
BCR	OPRK1	0.586
EIF4E	HNRNPD	0.586
NTSR1	NTRK3	0.586
ASAP1	SH3KBP1	0.586
GLRA1	GABRB2	0.586
BDNF	CADPS2	0.586
NEFL	SYT1	0.586
CPEB3	CPEB4	0.586
SYN2	SLC32A1	0.586
SPG11	FUS	0.586
GRM8	GRIK5	0.586
SLC18A2	SYP	0.586
GAD2	NTRK2	0.586
NRXN2	CBLN4	0.585
MDGA1	NLGN3	0.585
SYT7	OTOF	0.585
ADCY8	CALM2	0.585
STX2	STX11	0.585
NUMB	YWHAQ	0.585
NEDD4	SRC	0.585
EIF4EBP1	EGFR	0.585
SHISA8	SHISA6	0.585
CHRNA2	LGI1	0.585
CNTN1	PTPRA	0.585
GRIK3	GABRB2	0.585
SYN2	SLC17A6	0.585
GLRA4	GABRA5	0.585
DGKQ	HIP1R	0.585
ERC1	SYN1	0.585
HTT	FUS	0.584
ANK2	DCLK1	0.584
ZDHHC17	SYT1	0.584
VPS35	ATP6V0D1	0.584
NRXN1	SLC17A7	0.584
GABRR3	SLC17A7	0.584
VPS45	AP3B1	0.584
NRXN2	SLC17A7	0.584
DOC2B	RAB3B	0.584
RAB3C	SLC17A6	0.584
GLRA1	LGI1	0.584
GABRA1	GLRA4	0.584
BDNF	SLC1A2	0.584
NRXN1	SYT5	0.584
RPL8	PSMA3	0.584
ATP2B2	SNAP25	0.584
EGFR	PGRMC1	0.583
SLC6A1	STX1B	0.583
FAIM2	GRIA2	0.583
CABP4	TULP1	0.583
ATP2B2	SLC6A1	0.583
CYFIP1	CHRNA7	0.583
AKT1	CDH11	0.583
SHISA8	GRIA2	0.583
ITGB1	CDH1	0.583
GLRA4	GABRB1	0.583
KIF1A	NEDD4	0.583
SHISA7	CACNG8	0.582
GABRA2	TTYH1	0.582
GLRA1	GABRA1	0.582
CTNNB1	ERBB4	0.582
VPS45	STX1B	0.582
SYT8	OTOF	0.582
MYO5A	RAB8B	0.582
STX19	STX1B	0.581
OPRK1	NTS	0.581
EGLN1	PLD2	0.581
CDC42	PLD2	0.581
SRC	RTN4	0.581
SHISA6	PORCN	0.581
PSEN1	SYN1	0.581
PTEN	FYN	0.581
KCNC3	SIGMAR1	0.581
ADCYAP1	CCK	0.581
GSK3B	WNT5A	0.581
GABRR3	PDYN	0.581
FRMPD4	GRIPAP1	0.580
PLEKHA5	PDZD11	0.580
NTRK2	EGFR	0.580
KPNA2	PTEN	0.580
STX7	RAB5A	0.580
GRIN1	LRP8	0.580
NLGN3	ARHGEF9	0.580
CALB2	ACHE	0.580
GSG1L	PORCN	0.580
GABRR1	GLRA1	0.580
HTR3B	HTR2B	0.580
VPS45	VAMP2	0.580
GABRR3	GABRB1	0.580
VAMP2	RAB11A	0.579
SLITRK3	NRXN1	0.579
COPS5	PGRMC1	0.579
RAPGEF4	NLGN3	0.579
HRAS	PTCH1	0.579
CALCA	OPRK1	0.579
SNAP25	SGTA	0.579
OLFM3	GRIA4	0.579
SV2C	CRHBP	0.579
ZDHHC17	DNAJC5	0.578
HOMER1	SYP	0.578
CACNG7	GRIK5	0.578
GABRR2	GABRB1	0.578
NEDD4	ARRB1	0.578
SYT5	SYN1	0.578
GABRR1	GLRA4	0.578
ATP2B2	ATP2B3	0.578
DNM2	ACTB	0.578
GRIK4	GRM1	0.578
SLC6A9	STX1A	0.578
MTOR	ACTB	0.578
ITSN1	DENND1A	0.578
STX3	STX1A	0.578
IL1RAPL1	DMD	0.578
CPE	CCK	0.578
HRAS	GSK3B	0.577
STX19	STX1A	0.577
GRIK4	HTR3B	0.577
IQSEC2	CDKL5	0.577
RPS13	RPS6KB1	0.577
RAB27A	SYT2	0.577
GRIK2	GRM8	0.577
NUMB	SYNJ1	0.577
GABRR1	GABRD	0.577
HOMER1	GRIA2	0.577
SHISA7	CACNG4	0.577
NEFL	SYN1	0.577
RAB3GAP1	ARFGEF2	0.577
KIF1A	IGSF21	0.577
NRXN1	CBLN2	0.577
NETO1	PRSS12	0.576
CHRM2	MAP2	0.576
PDYN	BDNF	0.576
NUMB	CDC42	0.576
AKAP7	PRKACA	0.576
ABCC8	SNAP25	0.576
P2RX4	ADORA2B	0.576
NTF3	CHAT	0.576
CCK	SLC6A1	0.576
AKT1	DVL1	0.576
ARC	SH3GL3	0.576
RAB3C	STX1B	0.576
NTNG1	FZD9	0.576
GRIA2	NRXN2	0.576
BDNF	SNAP25	0.576
RAP1A	MTOR	0.576
GABRR3	GABRB3	0.576
KCNJ4	KCNC1	0.575
RAB8B	CDH1	0.575
STX19	STX4	0.575
RPL6	EEF1A2	0.575
NLGN3	SLC32A1	0.575
EEF2	DARS	0.575
SYNGAP1	DLGAP4	0.575
CTNNA2	CDH13	0.575
GABRR1	GABRB1	0.575
GRIK1	GRIP1	0.575
SYNGR4	SYP	0.575
GLRA1	GABRG2	0.575
SLITRK1	NPTX1	0.575
ENSG00000196689	P2RX1	0.575
GABRP	GABRR1	0.575
GABRR3	GABRB2	0.575
OLFM3	GABRB2	0.575
PTEN	FMR1	0.575
STXBP5	SYT1	0.575
AKT1	PTCH1	0.574
GRM8	SLC1A2	0.574
HTR1B	SNAP25	0.574
GRM1	SLC17A7	0.574
GABRP	GABRR2	0.574
HPCA	CALY	0.574
PTK2B	GRIN3B	0.574
GABRR3	GABRD	0.574
EXOC3	DTNBP1	0.574
GABRR3	GABRP	0.574
OTOF	SYT10	0.574
SNAPIN	SYT9	0.574
GABRR3	LGI1	0.574
NUMB	YWHAG	0.574
SYN1	ERC2	0.574
AKT1	PSEN1	0.574
DTNA	CNTN1	0.574
GRIN1	OLFM3	0.574
NEFL	KIF1A	0.574
ADRB1	ACHE	0.573
GAD1	GABRB1	0.573
GABRG3	GABRG2	0.573
SYN1	CAMK4	0.573
ACTB	CDH1	0.573
ARRB1	DVL1	0.573
ENSG00000196689	EGFR	0.573
DRD1	GAD1	0.573
MAP2	CALM1	0.573
CALB2	KCNC1	0.573
DRD1	GABRB2	0.573
MYO5A	ACTB	0.573
APBA2	PSEN1	0.573
HRAS	RGS14	0.573
CASK	CALM3	0.573
OPRK1	SLC6A4	0.573
SLC8A3	ATP2B4	0.573
GRIP1	EPHB2	0.573
CASK	CALM1	0.573
GRIA4	SLC17A7	0.573
SRC	FLNA	0.573
KCNC1	SNAP25	0.573
RPL30	IGSF21	0.572
NRXN1	ARHGEF9	0.572
ACTB	STAT3	0.572
SYT6	OTOF	0.572
CTNNB1	PTCH1	0.572
STX2	STX19	0.572
ACTB	PLD2	0.572
SYT9	OTOF	0.572
ACTB	HIP1R	0.572
CADPS2	PTPRZ1	0.572
SHISA9	NETO1	0.572
PICALM	DENND1A	0.571
GABRR1	GABRB2	0.571
GABRR2	GABRB2	0.571
NOS1	FMR1	0.571
ZDHHC17	GAD2	0.571
CNR1	PPP1R1B	0.571
SCN10A	KCND3	0.571
SRC	DNM3	0.571
SHANK1	GRIN2D	0.571
ABCC8	WFS1	0.571
DLG5	CTNNB1	0.571
NRXN2	SNAP25	0.571
ATP1A2	SLC1A2	0.571
KCNC2	KCNJ9	0.571
SYNGAP1	IQSEC2	0.571
KCNJ9	GABRB2	0.571
SPARCL1	GPC4	0.571
GRIN1	SYT1	0.570
CYFIP1	AKT1	0.570
PCLO	SYN1	0.570
KCNJ4	LIN7B	0.570
KCNK1	KCND3	0.570
SYN2	RAB3C	0.570
GRIK2	GRIN2D	0.570
CCK	SLC17A7	0.570
MAP2	CALB2	0.570
GDI2	RAP1A	0.570
ARRB1	DRD3	0.570
DLG1	CALM3	0.570
SHANK1	SLC32A1	0.570
PPFIA3	PPFIBP2	0.570
GABRA2	GLRA1	0.570
CALM1	MAPK14	0.570
SH2D5	BCR	0.570
ADRB1	SLC6A2	0.570
CALM1	SYT1	0.570
NTSR1	NPTXR	0.570
IQSEC2	IL1RAPL1	0.570
CHRNA7	STXBP5	0.570
CNR1	HTT	0.570
DNM1L	BNIP3	0.570
OTOF	SNAP25	0.570
GLRA1	GABRR2	0.570
PPP3CC	DTNBP1	0.570
GAK	CPLX1	0.569
SRC	MAPK8IP1	0.569
GABRR2	GLRA4	0.569
SYT12	OTOF	0.569
CLSTN2	CTNNA2	0.569
DNM2	MTMR2	0.569
SYT7	STX1B	0.569
GABRB1	SLC6A1	0.569
PACSIN1	GRIN1	0.569
ADCY8	WFS1	0.569
BNIP3	MTOR	0.569
NRXN1	SYP	0.568
MTOR	CAMK4	0.568
CHRNA2	NTRK2	0.568
BDNF	P2RX4	0.568
KIF5A	MYH10	0.568
GPHN	ENAH	0.568
FLRT3	OLFM3	0.568
GABRA1	GRIN1	0.568
ILK	DVL1	0.568
KCNA1	SNAP25	0.568
GAP43	RTN4R	0.568
TTYH1	GABRB1	0.568
GABRP	GABRB2	0.568
MAP2	SLC32A1	0.567
SLC1A7	SLC6A1	0.567
ITPR1	CALM3	0.567
ARF1	CANX	0.567
GABRR2	GABRB3	0.567
GABRR3	GRIN1	0.567
GRID1	CBLN1	0.567
CHRNA2	LRP4	0.567
SUMO1	PTEN	0.567
GRIA2	KCNC1	0.567
GRIA4	SYP	0.567
GLRA1	GABRA5	0.567
CDC42	YWHAH	0.567
EPB41	EGFR	0.567
EXOC3	STX1A	0.567
SYNGAP1	NRXN1	0.566
MAP2	PRKACA	0.566
RAB11A	SNAP23	0.566
SYNGAP1	FMR1	0.566
KIF5C	HAP1	0.566
HRAS	ACTB	0.566
NRXN1	GABRB2	0.566
SHISA7	OLFM3	0.566
CADM2	KCNJ9	0.566
GABRP	GABRD	0.566
HRAS	EIF4EBP1	0.566
SHISA6	CACNG4	0.566
GABRG3	TTYH1	0.566
KCNJ4	LAMP5	0.566
GABRR1	GABRB3	0.566
LIN7A	LIN7B	0.566
LIN7A	LIN7C	0.566
PTCH1	EGFR	0.566
GABRP	GABRB1	0.566
NOS1	ADRA1A	0.566
USP8	COPS5	0.565
GABRG2	KCNA1	0.565
KCNJ9	ABCC8	0.565
SNPH	SYP	0.565
NUMB	CLTB	0.565
SLC17A7	CBLN1	0.565
CPLX1	SYP	0.565
NEDD4	SH3KBP1	0.565
ATP1A3	ATP2B3	0.565
DRD3	SLC6A2	0.565
SLITRK3	PTPRS	0.565
NRXN2	ARHGEF9	0.565
SYT6	NRXN1	0.565
KCNC2	KCNC1	0.564
RIMS3	FAIM2	0.564
ERC2	GABRB2	0.564
GRIP1	DLGAP1	0.564
AKT1	SLC2A8	0.564
GRIK4	CACNG4	0.564
HIP1R	STX1B	0.564
PTK2B	GRIN2D	0.564
PABPC1	FXR2	0.564
CNTN1	CNTN2	0.563
MDM2	MAPK14	0.563
PSEN1	ITPR1	0.563
GABRD	GLRA4	0.563
STX3	STX19	0.563
KIF5C	SNPH	0.563
NOS1AP	KCNJ2	0.563
GABRP	GABRB3	0.563
NTF3	GAP43	0.563
SHANK1	SLC17A7	0.563
FRRS1L	CACNG8	0.563
PSEN1	RAB11A	0.563
GAD2	KCNC1	0.563
NRXN1	ZNF804A	0.563
GRIA2	NPTX2	0.563
SHISA8	CACNG7	0.563
GABRE	GABRA5	0.563
DRD2	DARS	0.563
CHRNA4	CHRM1	0.563
DLG1	SYN1	0.563
GABRB2	SLC17A7	0.562
GABRG2	DRD1	0.562
PKP4	LRRC7	0.562
AKT1	EFNB2	0.562
ERC1	SYT2	0.562
RAB5C	VPS45	0.562
NOS1	ADRB1	0.562
GABRD	KCNC1	0.562
ATP2B3	SNAP25	0.562
SV2B	SYP	0.562
SH3GL2	DENND1A	0.562
LGI1	CHRNA4	0.562
VPS45	RAB11B	0.562
SRC	PRKACA	0.562
NF1	MDM2	0.562
IL1RAPL1	RIMS3	0.562
GPER1	PGRMC1	0.562
ATP2B2	CALB2	0.562
ATP1A3	ATP2B2	0.561
PSEN1	GSK3A	0.561
HRAS	BNIP3	0.561
RPL6	TUFM	0.561
CALM1	EGFR	0.561
PTEN	EPHA7	0.561
GABRR3	COMT	0.561
GABRR2	GABRD	0.561
PTK2B	PICALM	0.561
KPNA1	STAT3	0.561
GABRA2	OPRK1	0.561
SYNGR1	CPLX1	0.561
NUMB	WNT7A	0.561
NRXN1	CDH9	0.561
ENSG00000196689	KCNA2	0.561
GRM1	GRIN3B	0.561
C4A	CLU	0.561
HDAC4	YWHAH	0.561
STX7	SYT1	0.561
SRC	MYH9	0.560
SYNC	SNCAIP	0.560
EPB41	DLGAP1	0.560
P2RX4	OPRK1	0.560
RAB33B	ARF6	0.560
GAD1	SLC1A2	0.560
CYFIP1	ARC	0.560
STX11	STX1B	0.560
GAD2	GRIA4	0.560
KCNA3	KCNA6	0.560
OTOF	USH1C	0.560
ARRB1	DRD1	0.560
ENSG00000196689	MAPK14	0.560
SYT6	SNAP47	0.560
SHISA7	GRIN2D	0.560
GAP43	CALM2	0.560
KCNK2	KCNA4	0.560
RAB11A	STX1A	0.560
LPPR4	PALMD	0.560
GABRG3	GLRA1	0.560
GLRA1	GABRD	0.560
DOC2B	RAB3C	0.559
CTNNB1	PORCN	0.559
RPL7	EEF1A2	0.559
ADCYAP1	SLC17A6	0.559
NSMF	GNRH1	0.559
ITPR1	ATP2B3	0.559
CALM3	DCLK1	0.559
LGI1	GRM1	0.559
NTSR1	NTRK2	0.559
BDNF	HOMER1	0.559
DCC	ENAH	0.559
PLEKHA5	LAMP5	0.559
APBB1	PSEN1	0.559
GABRR3	SLC17A6	0.559
ABHD6	NAAA	0.558
CHRM5	GRIK5	0.558
NUMB	GAK	0.558
COL4A5	LAMA5	0.558
SYT5	STX1B	0.558
TMEM230	VPS35	0.558
GRIN1	ERBB4	0.558
SLC18A3	AP1S1	0.558
SOS1	RAB5A	0.558
AGRN	DVL1	0.558
MYO7A	CDH1	0.558
NTNG1	LRFN1	0.558
MTOR	MDM2	0.558
SLC8A3	ITPR1	0.558
ATP2B4	DLG1	0.558
GABRR3	NTS	0.558
DNM2	ARC	0.558
RAB11A	CANX	0.557
FMR1	PPFIA3	0.557
BNIP3	EGLN1	0.557
NRXN1	CBLN4	0.557
TTYH1	GLRA4	0.557
DRD1	NTRK2	0.557
ABI1	RAB5A	0.557
CALY	CLTA	0.557
CCK	KCNJ9	0.557
GRIN1	PPP1R1B	0.557
BDNF	FYN	0.557
ADRA1A	SLC6A4	0.557
KCNN2	KCNK1	0.557
MDGA1	NRXN2	0.556
SYT9	STX1B	0.556
YES1	ADRA2C	0.556
PRKCZ	STAT3	0.556
RPS19	MDM2	0.556
STXBP5	SNAP47	0.556
SYT5	SYP	0.556
RAB4A	VPS35	0.556
GRM8	HOMER2	0.556
DRD2	ACHE	0.556
GAD1	ERBB4	0.556
GABRA1	CDKL5	0.556
GLUL	CALB1	0.556
GABRG3	GABRE	0.556
APBA2	DLGAP3	0.556
BDNF	NPTX2	0.556
EXOC3	RAB27B	0.556
SYN2	GABRA1	0.556
SV2C	CBLN2	0.556
SYN2	SYNPR	0.555
BNIP3	STAT3	0.555
CADM3	KCNJ4	0.555
CHAT	RAPSN	0.555
SLC6A1	SLC17A6	0.555
HCN3	KCNJ2	0.555
GABRG3	GLRA4	0.555
SPTBN1	ADD1	0.555
GAD1	PENK	0.555
AP3D1	ARF6	0.555
TUFM	VDAC1	0.555
NAPG	CPLX1	0.555
NRXN1	CTNND2	0.555
PSEN1	VPS35	0.555
TMUB1	SGTA	0.555
CTTN	STAT3	0.555
RPS9	PSMC4	0.555
GRIN2D	GRIK5	0.555
PRKACA	GSK3A	0.555
ATP1A2	ATP2B2	0.555
GRIN1	SLC6A1	0.554
ACTC1	CAP2	0.554
AKT1	P2RY1	0.554
GABRG2	OLFM3	0.554
